i_segment	zeta	curvature	lagrange_target	inequality_penalties	penalties	control_penalties	a__x__ctrl	a__x__ctrl_cell	v__x	a__x	lambda1__xo	lambda2__xo	penalty_scale	penalty_scale_cell	time	ax_max_wheeling_func	ax_max_wheeling_func_cell	ax_max_adherence_func	ax_max_adherence_func_cell	ax_min_stoppie_func	ax_min_stoppie_func_cell	ax_min_adherence_func	ax_min_adherence_func_cell	ax_max_engine_func	ax_max_engine_func_cell	ax_max_wheeling_pcell	ax_max_adherence_pcell	ax_max_power_pcell	ax_min_stoppie_pcell	ax_min_adherence_pcell	ay_max_adherence_pcell	ay_min_adherence_pcell	ay_min_pcell	ay_max_pcell	a__x__ctrlControl_pcell
0	0	6.70818920439e-05	0.0127406304748	0.000122306879754	0	2.61542869519e-06	3.49162011106	3.49162011106	78.4664	3.59873098602	-0.0358210947546	-1.70427843265e-28	0.0127443083919	0.0127406288608	0	9.42418956843	9.42351626233	8.50278031346	8.49863886087	-11.9207901893	-11.9212239339	-16.441417468	-16.4436247474	3.69751330935	3.69324508989	0.000328942501714	0.000389309594793	0.0083739842862	0.000125960012131	9.76179005017e-05	0.000146181113659	0.000137756776706	0	0	0.000205282543253
0	1.00008	6.61512356415e-05	0.0127332902241	0.000121587111945	0	2.77621174311e-06	3.5442892102	3.59695830934	78.5117226542	3.51536504958	-0.035763804552	-2.38348036076e-06	0.0127369514538	0.0127332885122	0.0127416481111	9.42284339593	9.42217434635	8.49449423284	8.49035719183	-11.9216584726	-11.9220935219	-16.4458322648	-16.4480319009	3.68897748617	3.68472483057	0.000328468930823	0.000389181429031	0.00832349956581	0.000126033414639	9.76447869764e-05	0.000146124158102	0.000137807395095	0	0	0.000218027867698
0	2.00017	6.52319967661e-05	0.0127259804004	0.00012196693232	0	2.59176930895e-06	3.53746240479	3.47796650025	78.5568930518	3.57884829213	-0.035705491914	-7.58184214052e-08	0.0127296276769	0.0127259788008	0.0254760826193	9.42150572581	9.42084051943	8.48621702238	8.48208152784	-11.9225293518	-11.9229660354	-16.4502317783	-16.4524252249	3.68047278445	3.67623280064	0.000328130765106	0.000389242115768	0.00835904539219	0.000126087010131	9.76598362355e-05	0.00014606785661	0.000137857507606	0	0	0.00020365972233
0	3.00025	6.43241233381e-05	0.012718701188	0.000121284506293	0	2.74047736679e-06	3.52701661758	3.57606673492	78.6019417463	3.50038571549	-0.0356479133127	-2.2978606251e-06	0.012722332016	0.0127186994979	0.0382030794984	9.4201757311	9.41951466783	8.47794295014	8.47381205164	-11.9234034862	-11.9238413854	-16.454618917	-16.4568048397	3.67199342095	3.66776880947	0.000327665810108	0.000389123154331	0.00831136644227	0.000126159452239	9.76862431638e-05	0.000146012206412	0.000137907114266	0	0	0.00021546836351
0	4.00033	6.34275325421e-05	0.0127114520103	0.000121628861734	0	2.56809179807e-06	3.52013145705	3.46419617919	78.6468398866	3.55922737046	-0.0355893737234	-1.46372608699e-07	0.0127150690535	0.0127114504252	0.0509227964923	9.41885401211	9.41819668184	8.46967811604	8.46554901462	-11.9242800387	-11.9247194722	-16.4589910112	-16.4611708392	3.663544796	3.65933272398	0.00032732733675	0.000389181302484	0.00834411186763	0.000126213272308	9.7701535554e-05	0.000145957203559	0.000137956216185	0	0	0.000202029800862
0	5.00042	6.25421387223e-05	0.0127042330308	0.00012098142507	0	2.70554577097e-06	3.50984863542	3.55550109165	78.691617418	3.48536633832	-0.0355315080437	-2.21742730216e-06	0.0127078338559	0.012704231362	0.063635390948	9.41753974841	9.41688644925	8.4614169203	8.45729260255	-11.9251596468	-11.925600207	-16.4633509203	-16.4655233404	3.65512124473	3.65092436115	0.000326870649201	0.000389071068897	0.00829906197662	0.000126284794044	9.77274851026e-05	0.000145902844811	0.000138004813879	0	0	0.000212964145085
0	6.0005	6.16678797361e-05	0.0126970438077	0.000121292577403	0	2.54441314957e-06	3.50291028571	3.45031947978	78.7362460249	3.53985786345	-0.0354727388329	-2.11989338829e-07	0.01270063091	0.012697042237	0.0763406386485	9.41623353667	9.41558388052	8.45316533694	8.44904318203	-11.9260414952	-11.9264834783	-16.4676960165	-16.4698623731	3.64672806438	3.6425437112	0.00032653210068	0.000389126904776	0.00832917859675	0.00012633881028	9.77430003241e-05	0.000145849126624	0.000138052908173	0	0	0.000200394162835
0	7.00058	6.0804664126e-05	0.0126898843773	0.000120677914253	0	2.67138309393e-06	3.49278360595	3.53524773212	78.7807538136	3.47031467596	-0.0354145889994	-2.14186114392e-06	0.0126934555915	0.0126898827293	0.0890386966489	9.41493460051	9.4142888457	8.44491812249	8.44080081702	-11.9269261766	-11.9273692109	-16.4720289896	-16.4741881158	3.63835993965	3.63419047256	0.000326083356617	0.000389024944401	0.00828659098741	0.00012640944899	9.77685132305e-05	0.000145796044533	0.000138100500754	0	0	0.000210512827495
0	8.00067	5.99523979885e-05	0.0126827543221	0.000120957978247	0	2.52075352719e-06	3.48579840858	3.43634908503	78.8251155754	3.52073016657	-0.0353555875979	-2.72977290362e-07	0.0126863118779	0.0126827527658	0.101729721468	9.41364345703	9.41300125588	8.4366806507	8.43256586459	-11.9278129479	-11.9282572954	-16.476347505	-16.4785006	3.63002158132	3.62586463213	0.00032574494195	0.000389078674769	0.00831423958001	0.000126463635811	9.77842325097e-05	0.000145743594583	0.000138147592895	0	0	0.000198754448165
0	9.00075	5.91110101632e-05	0.0126756538742	0.000120374003444	0	2.63796131435e-06	3.47582268723	3.51529628942	78.8693563524	3.455237716	-0.0352971546522	-2.07086266673e-06	0.0126791956502	0.0126756522466	0.114413488854	9.41235941069	9.41172102166	8.42844825982	8.42433863674	-11.9287023332	-11.9291476305	-16.4806539619	-16.4827998713	3.62170825371	3.61756614496	0.000325303840686	0.000388984553968	0.00827395700667	0.000126533426238	9.78093281347e-05	0.000145691773468	0.000138194185322	0	0	0.000208112471298
