X	Y	theta	abscissa	curvature	width_L	width_R	elevation	banking	slope	upsilon	torsion
0.105488376390737007004539	0.153556067992306921610179	-0.00933205812302234823107927	0	-0.00064719811184428869231533	7.31084315502516002283073	7.49575266663609340866969	-0.0204968339541804905890032	-0.00272246073541191702452324	0.0113137523259655998347784	4.09135638365009374201172e-06	1.40634432537906247756261e-05
5.10623741476032577679689	0.100227735504444637193444	-0.0117085478034241047273767	5.00103456591947992393443	-0.000432986204844647108724853	7.3616533592922879236653	7.4420368444990705469877	0.0361416313818641102284523	-0.00272194492711144491944864	0.0113014709029314788096832	-3.7375682488398319233908e-06	-1.00675604067364109922306e-06
10.1068590628199057590564	0.0360707678921707991515078	-0.0139874985444058599209916	10.0020688399308870231152	-0.000478500807439286631600472	7.42147830005028907862652	7.37894106189660448080758	0.0925700113489753562134865	-0.00276169626681115228106211	0.0112622578270481724788121	-9.44708358440947891206726e-06	-9.12104298706126735175881e-06
15.1073130327721329990709	-0.0400275675557920235236864	-0.0164798355218679776212909	15.0031031139710400168497	-0.000518538803848900341046668	7.49115429104267871451839	7.30642966930519577317682	0.148744501690709157726289	-0.00286180996587662031874211	0.0111907664633539953580321	-1.63326034446872439044075e-05	-2.24530719831524167202658e-05
20.1075534386222969374103	-0.129049168905014860486702	-0.0191484645983872742158738	20.0041373875344454802416	-0.000548997040672859898391422	7.57145307592232352789097	7.22316020735400687868832	0.204494993754874898606033	-0.00304315387264078368242948	0.0110830148545467861709302	-2.35978542207277065421642e-05	-3.86104945437131891411778e-05
25.1075317513641493860632	-0.231735601407081187597115	-0.0219337608977794341902356	25.0051716606075551396771	-0.000565120927011660153203854	7.66301330231608357479445	7.12672556592479544690377	0.259600698357192072318611	-0.00331319171638375705585267	0.0109419197756411776256691	-2.92838122516398736451537e-05	-5.45138173709665084911216e-05
30.1072016983094741249261	-0.348473101319234923600732	-0.0247537822275693715490252	30.006205933323595758111	-0.000562721336909117759300658	7.76617462888143350596692	7.01635432655935975532202	0.313936359136118225965362	-0.00365861649582450813855683	0.0107778134806274759893707	-3.24218991320108295231019e-05	-6.77255491668432590577839e-05
35.1065256773038640858431	-0.47919308854622588711436	-0.0275100697328566068389222	35.0072402059870384505302	-0.000539397659807213584841346	7.88078875613787133147525	6.89439819346358184759538	0.36742396295927715055285	-0.00405829222128835636479449	0.0106058147591920025332168	-3.21317060420654374008897e-05	-7.74720336147892760627134e-05
40.1054813725543510827265	-0.62331726441289247997446	-0.0300997050859255176058493	40.0082744789965261134057	-0.000495821196710847286043267	8.00606600344686647474646	6.76374431556148358879454	0.420046169023641002837621	-0.00449673274721970519379743	0.0104455887411404203107823	-2.75467700107911216762975e-05	-8.4633367128641914106657e-05
45.1040664583898731621048	-0.779776848990243132142552	-0.0324324553554400096810895	45.0093087526797006603374	-0.000436467333324817949747471	8.14051291583665381779156	6.6276752218532202221013	0.471919735729030398463379	-0.00496445744516827835307593	0.0103180761360421573841206	-1.90698195394163240868734e-05	-9.14206217500523378189509e-05
